session_id,vehicle_number,vehicle_type,slot_number,entry_time,exit_time,duration_minutes,status,hour,minute,day_of_week,is_weekend,is_morning_rush,is_lunch,is_evening_rush,month,day,vehicle_type_num
36,UP80CC6635,car,C5,2024-01-01 17:24:26,2024-01-01 19:14:26,110,completed,17,24,0,0,0,0,1,1,1,0
37,UP80LP3441,bike,B3,2024-01-01 17:23:19,2024-01-01 19:09:19,106,completed,17,23,0,0,0,0,1,1,1,1
38,UP80XW5889,car,C6,2024-01-01 17:56:03,2024-01-01 19:11:03,75,completed,17,56,0,0,0,0,1,1,1,0
39,UP80JZ3266,car,C7,2024-01-01 17:03:43,2024-01-01 18:14:43,71,completed,17,3,0,0,0,0,1,1,1,0
40,UP80KQ8668,bike,B4,2024-01-01 17:28:26,2024-01-01 18:18:26,50,completed,17,28,0,0,0,0,1,1,1,1
41,UP80DJ5374,bike,B5,2024-01-01 17:07:22,2024-01-01 18:07:22,60,completed,17,7,0,0,0,0,1,1,1,1
42,UP80PS1750,bike,B6,2024-01-01 17:33:42,2024-01-01 18:17:42,44,completed,17,33,0,0,0,0,1,1,1,1
43,UP80BH6925,bike,B7,2024-01-01 17:25:38,2024-01-01 18:34:38,69,completed,17,25,0,0,0,0,1,1,1,1
44,UP80QE5010,car,C8,2024-01-01 17:08:48,2024-01-01 18:57:48,109,completed,17,8,0,0,0,0,1,1,1,0
45,UP80GQ7543,car,C9,2024-01-01 17:07:00,2024-01-01 18:50:00,103,completed,17,7,0,0,0,0,1,1,1,0
46,UP80SW1916,bike,B8,2024-01-01 17:45:14,2024-01-01 19:21:14,96,completed,17,45,0,0,0,0,1,1,1,1
47,UP80ZY4295,bike,B9,2024-01-01 17:04:25,2024-01-01 17:53:25,49,completed,17,4,0,0,0,0,1,1,1,1
48,UP80GQ7543,car,C10,2024-01-01 17:04:55,2024-01-01 18:46:55,102,completed,17,4,0,0,0,0,1,1,1,0
49,UP80UF9486,car,C1,2024-01-01 18:36:25,2024-01-01 19:58:25,82,completed,18,36,0,0,0,0,1,1,1,0
50,UP80GL8613,car,C4,2024-01-01 18:20:10,2024-01-01 20:19:10,119,completed,18,20,0,0,0,0,1,1,1,0
51,UP80FA6168,bike,B4,2024-01-01 18:29:53,2024-01-01 20:25:53,116,completed,18,29,0,0,0,0,1,1,1,1
52,UP80NZ1188,bike,B5,2024-01-01 18:15:27,2024-01-01 19:55:27,100,completed,18,15,0,0,0,0,1,1,1,1
53,UP80HQ2625,bike,B1,2024-01-01 19:05:25,2024-01-01 20:08:25,63,completed,19,5,0,0,0,0,1,1,1,1
54,UP80VA3615,car,C3,2024-01-01 19:10:04,2024-01-01 21:02:04,112,completed,19,10,0,0,0,0,1,1,1,0
55,UP80SW1916,bike,B2,2024-01-01 19:33:32,2024-01-01 20:10:32,37,completed,19,33,0,0,0,0,1,1,1,1
56,UP80LL5557,car,C1,2024-01-01 20:41:52,2024-01-02 00:02:52,201,completed,20,41,0,0,0,0,0,1,1,0
57,UP80ZU9317,car,C2,2024-01-01 20:09:16,2024-01-01 22:47:16,158,completed,20,9,0,0,0,0,0,1,1,0
58,UP80AW3979,car,C4,2024-01-01 20:04:11,2024-01-01 22:59:11,175,completed,20,4,0,0,0,0,0,1,1,0
59,UP80KS8699,car,C5,2024-01-01 20:31:29,2024-01-01 21:37:29,66,completed,20,31,0,0,0,0,0,1,1,0
60,UP80XW5889,car,C2,2024-01-01 22:56:36,2024-01-02 00:27:36,91,completed,22,56,0,0,0,0,0,1,1,0
61,UP80HA5279,bike,B1,2024-01-01 23:20:55,2024-01-02 00:40:55,80,completed,23,20,0,0,0,0,0,1,1,1
62,UP80KQ8668,bike,B1,2024-01-02 07:05:41,2024-01-02 11:23:41,258,completed,7,5,1,0,1,0,0,1,2,1
63,UP80QV8527,car,C1,2024-01-02 07:23:01,2024-01-02 14:15:01,412,completed,7,23,1,0,1,0,0,1,2,0
64,UP80SJ3547,car,C2,2024-01-02 07:49:31,2024-01-02 13:32:31,343,completed,7,49,1,0,1,0,0,1,2,0
65,UP80LL5557,car,C3,2024-01-02 07:09:04,2024-01-02 11:54:04,285,completed,7,9,1,0,1,0,0,1,2,0
66,UP80DK4598,car,C4,2024-01-02 07:47:56,2024-01-02 13:43:56,356,completed,7,47,1,0,1,0,0,1,2,0
67,UP80ZU9317,car,C5,2024-01-02 08:56:49,2024-01-02 14:30:49,334,completed,8,56,1,0,1,0,0,1,2,0
68,UP80PA2343,car,C6,2024-01-02 08:53:44,2024-01-02 15:17:44,384,completed,8,53,1,0,1,0,0,1,2,0
69,UP80FA6168,bike,B2,2024-01-02 08:46:28,2024-01-02 12:26:28,220,completed,8,46,1,0,1,0,0,1,2,1
70,UP80JZ3266,car,C7,2024-01-02 08:28:39,2024-01-02 13:48:39,320,completed,8,28,1,0,1,0,0,1,2,0
71,UP80WD3621,bike,B3,2024-01-02 08:14:34,2024-01-02 12:46:34,272,completed,8,14,1,0,1,0,0,1,2,1
72,UP80SS2052,car,C8,2024-01-02 08:43:36,2024-01-02 14:20:36,337,completed,8,43,1,0,1,0,0,1,2,0
73,UP80TW3091,car,C9,2024-01-02 08:49:18,2024-01-02 12:15:18,206,completed,8,49,1,0,1,0,0,1,2,0
74,UP80DH1958,bike,B4,2024-01-02 09:52:12,2024-01-02 13:25:12,213,completed,9,52,1,0,1,0,0,1,2,1
75,UP80WD3621,bike,B5,2024-01-02 09:55:16,2024-01-02 14:48:16,293,completed,9,55,1,0,1,0,0,1,2,1
76,UP80WX3697,car,C10,2024-01-02 10:06:45,2024-01-02 11:29:45,83,completed,10,6,1,0,0,0,0,1,2,0
77,UP80ZT4878,bike,B6,2024-01-02 11:18:05,2024-01-02 12:04:05,46,completed,11,18,1,0,0,0,0,1,2,1
78,UP80PS1750,bike,B1,2024-01-02 11:53:27,2024-01-02 13:17:27,84,completed,11,53,1,0,0,0,0,1,2,1
79,UP80CM2133,car,C10,2024-01-02 11:52:28,2024-01-02 13:17:28,85,completed,11,52,1,0,0,0,0,1,2,0
80,UP80PT9928,car,C11,2024-01-02 11:23:15,2024-01-02 13:43:15,140,completed,11,23,1,0,0,0,0,1,2,0
81,UP80LL5557,car,C3,2024-01-02 12:23:14,2024-01-02 13:38:14,75,completed,12,23,1,0,0,1,0,1,2,0
82,UP80DJ5374,bike,B2,2024-01-02 12:50:09,2024-01-02 13:16:09,26,completed,12,50,1,0,0,1,0,1,2,1
83,UP80SJ3547,car,C9,2024-01-02 12:58:53,2024-01-02 13:59:53,61,completed,12,58,1,0,0,1,0,1,2,0
84,UP80YX6038,car,C12,2024-01-02 12:39:00,2024-01-02 13:16:00,37,completed,12,39,1,0,0,1,0,1,2,0
85,UP80DS4571,car,C13,2024-01-02 12:16:13,2024-01-02 13:41:13,85,completed,12,16,1,0,0,1,0,1,2,0
86,UP80BJ3143,bike,B3,2024-01-02 12:27:07,2024-01-02 13:04:07,37,completed,12,27,1,0,0,1,0,1,2,1
87,UP80DD9830,car,C10,2024-01-02 13:19:07,2024-01-02 14:01:07,42,completed,13,19,1,0,0,1,0,1,2,0
88,UP80AJ7624,bike,B1,2024-01-02 13:04:07,2024-01-02 13:32:07,28,completed,13,4,1,0,0,1,0,1,2,1
89,UP80KQ8668,bike,B1,2024-01-02 14:38:34,2024-01-02 15:17:34,39,completed,14,38,1,0,0,0,0,1,2,1
90,UP80SW1916,bike,B1,2024-01-02 15:18:27,2024-01-02 16:14:27,56,completed,15,18,1,0,0,0,0,1,2,1
91,UP80PT9928,car,C1,2024-01-02 16:15:36,2024-01-02 17:37:36,82,completed,16,15,1,0,0,0,0,1,2,0
92,UP80KQ8668,bike,B1,2024-01-02 16:33:34,2024-01-02 17:44:34,71,completed,16,33,1,0,0,0,0,1,2,1
93,UP80WD3621,bike,B2,2024-01-02 16:35:01,2024-01-02 18:13:01,98,completed,16,35,1,0,0,0,0,1,2,1
94,UP80PE7211,car,C2,2024-01-02 16:23:16,2024-01-02 18:33:16,130,completed,16,23,1,0,0,0,0,1,2,0
95,UP80LL5557,car,C3,2024-01-02 16:50:04,2024-01-02 18:58:04,128,completed,16,50,1,0,0,0,0,1,2,0
96,UP80SC9797,car,C4,2024-01-02 16:21:08,2024-01-02 17:16:08,55,completed,16,21,1,0,0,0,0,1,2,0
97,UP80NC1771,car,C4,2024-01-02 17:21:52,2024-01-02 19:24:52,123,completed,17,21,1,0,0,0,1,1,2,0
98,UP80NC1771,car,C5,2024-01-02 17:11:51,2024-01-02 18:36:51,85,completed,17,11,1,0,0,0,1,1,2,0
99,UP80NZ7201,car,C6,2024-01-02 17:02:18,2024-01-02 18:51:18,109,completed,17,2,1,0,0,0,1,1,2,0
100,UP80SC9797,car,C7,2024-01-02 17:19:32,2024-01-02 18:31:32,72,completed,17,19,1,0,0,0,1,1,2,0
101,UP80NZ7201,car,C8,2024-01-02 17:30:16,2024-01-02 18:46:16,76,completed,17,30,1,0,0,0,1,1,2,0
102,UP80GR6977,car,C9,2024-01-02 17:03:55,2024-01-02 19:31:55,148,completed,17,3,1,0,0,0,1,1,2,0
103,UP80FM8517,bike,B3,2024-01-02 17:07:51,2024-01-02 18:19:51,72,completed,17,7,1,0,0,0,1,1,2,1
104,UP80AJ7624,bike,B4,2024-01-02 17:24:21,2024-01-02 17:46:21,22,completed,17,24,1,0,0,0,1,1,2,1
105,UP80NZ1188,bike,B5,2024-01-02 17:44:31,2024-01-02 18:57:31,73,completed,17,44,1,0,0,0,1,1,2,1
106,UP80QV8527,car,C1,2024-01-02 17:27:05,2024-01-02 19:09:05,102,completed,17,27,1,0,0,0,1,1,2,0
107,UP80PT9928,car,C10,2024-01-02 17:34:18,2024-01-02 18:52:18,78,completed,17,34,1,0,0,0,1,1,2,0
108,UP80PA2343,car,C11,2024-01-02 17:28:38,2024-01-02 19:20:38,112,completed,17,28,1,0,0,0,1,1,2,0
109,UP80SX2424,car,C12,2024-01-02 17:44:28,2024-01-02 19:04:28,80,completed,17,44,1,0,0,0,1,1,2,0
110,UP80QA2535,bike,B1,2024-01-02 18:39:27,2024-01-02 18:59:27,20,completed,18,39,1,0,0,0,1,1,2,1
111,UP80FA6168,bike,B2,2024-01-02 18:04:42,2024-01-02 18:37:42,33,completed,18,4,1,0,0,0,1,1,2,1
112,UP80ZU9317,car,C2,2024-01-02 18:10:01,2024-01-02 19:35:01,85,completed,18,10,1,0,0,0,1,1,2,0
113,UP80SJ3547,car,C5,2024-01-02 18:43:50,2024-01-02 21:00:50,137,completed,18,43,1,0,0,0,1,1,2,0
114,UP80CL8433,car,C7,2024-01-02 18:23:23,2024-01-02 20:14:23,111,completed,18,23,1,0,0,0,1,1,2,0
115,UP80JZ3266,car,C13,2024-01-02 18:02:38,2024-01-02 19:59:38,117,completed,18,2,1,0,0,0,1,1,2,0
116,UP80NZ1188,bike,B1,2024-01-02 19:48:04,2024-01-02 20:55:04,67,completed,19,48,1,0,0,0,1,1,2,1
117,UP80GR6977,car,C1,2024-01-02 19:23:25,2024-01-02 20:53:25,90,completed,19,23,1,0,0,0,1,1,2,0
118,UP80KB6155,car,C2,2024-01-02 20:47:11,2024-01-02 23:06:11,139,completed,20,47,1,0,0,0,0,1,2,0
119,UP80WW7227,car,C1,2024-01-02 20:58:35,2024-01-02 22:50:35,112,completed,20,58,1,0,0,0,0,1,2,0
120,UP80VL2040,car,C3,2024-01-02 20:39:18,2024-01-02 22:12:18,93,completed,20,39,1,0,0,0,0,1,2,0
121,UP80FN1434,bike,B1,2024-01-02 20:12:07,2024-01-02 20:35:07,23,completed,20,12,1,0,0,0,0,1,2,1
122,UP80EZ5349,car,C4,2024-01-02 20:28:05,2024-01-02 22:53:05,145,completed,20,28,1,0,0,0,0,1,2,0
123,UP80DS4571,car,C5,2024-01-02 21:42:22,2024-01-02 22:20:22,38,completed,21,42,1,0,0,0,0,1,2,0
124,UP80SD9042,car,C6,2024-01-02 21:54:10,2024-01-02 23:31:10,97,completed,21,54,1,0,0,0,0,1,2,0
125,UP80QR2375,bike,B1,2024-01-02 21:40:11,2024-01-02 23:06:11,86,completed,21,40,1,0,0,0,0,1,2,1
126,UP80VL2040,car,C3,2024-01-02 22:50:08,2024-01-03 02:44:08,234,completed,22,50,1,0,0,0,0,1,2,0
127,UP80FA6168,bike,B2,2024-01-02 22:01:23,2024-01-02 22:06:23,5,completed,22,1,1,0,0,0,0,1,2,1
128,UP80FX6413,bike,B2,2024-01-02 22:08:39,2024-01-02 23:37:39,89,completed,22,8,1,0,0,0,0,1,2,1
129,UP80BR1878,car,C1,2024-01-02 23:19:25,2024-01-03 00:38:25,79,completed,23,19,1,0,0,0,0,1,2,0
130,UP80RD8564,car,C1,2024-01-03 06:25:08,2024-01-03 08:30:08,125,completed,6,25,2,0,0,0,0,1,3,0
131,UP80NC1771,car,C2,2024-01-03 07:35:06,2024-01-03 14:22:06,407,completed,7,35,2,0,1,0,0,1,3,0
132,UP80KB6155,car,C3,2024-01-03 07:09:06,2024-01-03 13:54:06,405,completed,7,9,2,0,1,0,0,1,3,0
133,UP80CC6635,car,C4,2024-01-03 07:55:39,2024-01-03 14:49:39,414,completed,7,55,2,0,1,0,0,1,3,0
134,UP80CC6635,car,C5,2024-01-03 07:46:20,2024-01-03 11:37:20,231,completed,7,46,2,0,1,0,0,1,3,0
135,UP80SS2169,bike,B1,2024-01-03 07:31:32,2024-01-03 11:04:32,213,completed,7,31,2,0,1,0,0,1,3,1
136,UP80RU2307,car,C6,2024-01-03 08:25:32,2024-01-03 14:25:32,360,completed,8,25,2,0,1,0,0,1,3,0
137,UP80QA2535,bike,B2,2024-01-03 08:13:37,2024-01-03 11:57:37,224,completed,8,13,2,0,1,0,0,1,3,1
138,UP80DJ5374,bike,B3,2024-01-03 08:53:41,2024-01-03 14:12:41,319,completed,8,53,2,0,1,0,0,1,3,1
139,UP80QT9270,bike,B4,2024-01-03 08:34:00,2024-01-03 13:05:00,271,completed,8,34,2,0,1,0,0,1,3,1
140,UP80SX2424,car,C1,2024-01-03 08:23:48,2024-01-03 14:58:48,395,completed,8,23,2,0,1,0,0,1,3,0
141,UP80NZ7201,car,C7,2024-01-03 08:25:03,2024-01-03 13:52:03,327,completed,8,25,2,0,1,0,0,1,3,0
142,UP80UU6573,car,C8,2024-01-03 09:24:32,2024-01-03 16:01:32,397,completed,9,24,2,0,1,0,0,1,3,0
143,UP80TZ9595,car,C9,2024-01-03 09:17:52,2024-01-03 14:52:52,335,completed,9,17,2,0,1,0,0,1,3,0
144,UP80DK4598,car,C10,2024-01-03 09:06:25,2024-01-03 14:45:25,339,completed,9,6,2,0,1,0,0,1,3,0
145,UP80XJ3584,car,C11,2024-01-03 10:35:23,2024-01-03 12:02:23,87,completed,10,35,2,0,0,0,0,1,3,0
146,UP80DK4598,car,C12,2024-01-03 10:02:02,2024-01-03 11:37:02,95,completed,10,2,2,0,0,0,0,1,3,0
147,UP80FU2674,car,C5,2024-01-03 11:51:30,2024-01-03 13:13:30,82,completed,11,51,2,0,0,0,0,1,3,0
148,UP80CC6635,car,C12,2024-01-03 11:20:59,2024-01-03 12:50:59,90,completed,11,20,2,0,0,0,0,1,3,0
149,UP80JV4728,bike,B1,2024-01-03 11:25:39,2024-01-03 12:15:39,50,completed,11,25,2,0,0,0,0,1,3,1
150,UP80CL8433,car,C11,2024-01-03 12:32:34,2024-01-03 13:18:34,46,completed,12,32,2,0,0,1,0,1,3,0
151,UP80GL6279,car,C13,2024-01-03 12:19:30,2024-01-03 13:14:30,55,completed,12,19,2,0,0,1,0,1,3,0
152,UP80FD2679,bike,B1,2024-01-03 13:26:37,2024-01-03 14:17:37,51,completed,13,26,2,0,0,1,0,1,3,1
153,UP80AT5315,car,C5,2024-01-03 13:38:30,2024-01-03 14:09:30,31,completed,13,38,2,0,0,1,0,1,3,0
154,UP80XW5889,car,C11,2024-01-03 13:37:30,2024-01-03 14:22:30,45,completed,13,37,2,0,0,1,0,1,3,0
155,UP80RU2307,car,C12,2024-01-03 13:49:53,2024-01-03 15:36:53,107,completed,13,49,2,0,0,1,0,1,3,0
156,UP80QE5010,car,C3,2024-01-03 14:07:12,2024-01-03 16:26:12,139,completed,14,7,2,0,0,0,0,1,3,0
157,UP80BH6925,bike,B1,2024-01-03 14:26:09,2024-01-03 15:04:09,38,completed,14,26,2,0,0,0,0,1,3,1
158,UP80UK8253,car,C2,2024-01-03 14:58:30,2024-01-03 17:34:30,156,completed,14,58,2,0,0,0,0,1,3,0
159,UP80EG6363,bike,B2,2024-01-03 14:46:03,2024-01-03 16:06:03,80,completed,14,46,2,0,0,0,0,1,3,1
160,UP80QE5010,car,C1,2024-01-03 15:42:30,2024-01-03 18:16:30,154,completed,15,42,2,0,0,0,0,1,3,0
161,UP80JB6409,bike,B1,2024-01-03 16:11:29,2024-01-03 16:50:29,39,completed,16,11,2,0,0,0,0,1,3,1
162,UP80WW7227,car,C3,2024-01-03 16:55:46,2024-01-03 18:37:46,102,completed,16,55,2,0,0,0,0,1,3,0
163,UP80RU2307,car,C4,2024-01-03 16:39:30,2024-01-03 18:32:30,113,completed,16,39,2,0,0,0,0,1,3,0
164,UP80BH6925,bike,B1,2024-01-03 17:19:49,2024-01-03 18:54:49,95,completed,17,19,2,0,0,0,1,1,3,1
165,UP80WD3621,bike,B2,2024-01-03 17:44:45,2024-01-03 18:25:45,41,completed,17,44,2,0,0,0,1,1,3,1
166,UP80VA3615,car,C2,2024-01-03 17:50:46,2024-01-03 20:16:46,146,completed,17,50,2,0,0,0,1,1,3,0
167,UP80FM8517,bike,B3,2024-01-03 17:36:43,2024-01-03 19:16:43,100,completed,17,36,2,0,0,0,1,1,3,1
168,UP80DJ5374,bike,B4,2024-01-03 17:51:09,2024-01-03 18:09:09,18,completed,17,51,2,0,0,0,1,1,3,1
169,UP80JZ3266,car,C5,2024-01-03 17:45:05,2024-01-03 18:47:05,62,completed,17,45,2,0,0,0,1,1,3,0
170,UP80ZT4878,bike,B5,2024-01-03 17:13:12,2024-01-03 17:53:12,40,completed,17,13,2,0,0,0,1,1,3,1
171,UP80SJ3547,car,C6,2024-01-03 17:59:35,2024-01-03 20:07:35,128,completed,17,59,2,0,0,0,1,1,3,0
172,UP80NZ1188,bike,B5,2024-01-03 17:15:15,2024-01-03 18:56:15,101,completed,17,15,2,0,0,0,1,1,3,1
173,UP80LL5557,car,C7,2024-01-03 17:14:40,2024-01-03 18:03:40,49,completed,17,14,2,0,0,0,1,1,3,0
174,UP80DU9837,bike,B6,2024-01-03 17:06:43,2024-01-03 18:41:43,95,completed,17,6,2,0,0,0,1,1,3,1
175,UP80WD3621,bike,B7,2024-01-03 17:35:59,2024-01-03 18:33:59,58,completed,17,35,2,0,0,0,1,1,3,1
176,UP80QA2535,bike,B4,2024-01-03 18:18:20,2024-01-03 19:35:20,77,completed,18,18,2,0,0,0,1,1,3,1
177,UP80CL8433,car,C1,2024-01-03 18:58:49,2024-01-03 20:33:49,95,completed,18,58,2,0,0,0,1,1,3,0
178,UP80QV8527,car,C3,2024-01-03 18:54:59,2024-01-03 21:12:59,138,completed,18,54,2,0,0,0,1,1,3,0
179,UP80GW7932,bike,B1,2024-01-03 18:26:56,2024-01-03 20:06:56,100,completed,18,26,2,0,0,0,1,1,3,1
180,UP80KA8711,car,C4,2024-01-03 18:31:11,2024-01-03 20:00:11,89,completed,18,31,2,0,0,0,1,1,3,0
181,UP80CL8433,car,C5,2024-01-03 18:56:02,2024-01-03 19:30:02,34,completed,18,56,2,0,0,0,1,1,3,0
182,UP80SC9797,car,C7,2024-01-03 18:21:18,2024-01-03 19:09:18,48,completed,18,21,2,0,0,0,1,1,3,0
183,UP80LY8973,car,C5,2024-01-03 19:33:31,2024-01-03 21:22:31,109,completed,19,33,2,0,0,0,1,1,3,0
184,UP80CC6635,car,C7,2024-01-03 19:12:51,2024-01-03 20:14:51,62,completed,19,12,2,0,0,0,1,1,3,0
185,UP80QV8527,car,C8,2024-01-03 19:46:29,2024-01-03 21:43:29,117,completed,19,46,2,0,0,0,1,1,3,0
186,UP80NZ7201,car,C9,2024-01-03 19:18:36,2024-01-03 20:50:36,92,completed,19,18,2,0,0,0,1,1,3,0
187,UP80TK7547,bike,B2,2024-01-03 19:11:39,2024-01-03 20:39:39,88,completed,19,11,2,0,0,0,1,1,3,1
188,UP80QV8527,car,C10,2024-01-03 19:05:25,2024-01-03 20:03:25,58,completed,19,5,2,0,0,0,1,1,3,0
189,UP80RU2307,car,C11,2024-01-03 19:08:30,2024-01-03 21:07:30,119,completed,19,8,2,0,0,0,1,1,3,0
190,UP80DK4598,car,C2,2024-01-03 20:28:48,2024-01-03 22:29:48,121,completed,20,28,2,0,0,0,0,1,3,0
191,UP80YY1009,car,C4,2024-01-03 20:19:37,2024-01-03 22:16:37,117,completed,20,19,2,0,0,0,0,1,3,0
192,UP80NC1771,car,C6,2024-01-03 20:15:03,2024-01-03 22:52:03,157,completed,20,15,2,0,0,0,0,1,3,0
193,UP80KQ8668,bike,B1,2024-01-03 21:19:10,2024-01-03 23:20:10,121,completed,21,19,2,0,0,0,0,1,3,1
194,UP80DJ5374,bike,B2,2024-01-03 21:49:19,2024-01-03 22:39:19,50,completed,21,49,2,0,0,0,0,1,3,1
195,UP80SJ3547,car,C1,2024-01-03 21:23:39,2024-01-03 22:39:39,76,completed,21,23,2,0,0,0,0,1,3,0
196,UP80DM3705,bike,B1,2024-01-04 00:56:46,2024-01-04 02:14:46,78,completed,0,56,3,0,0,0,0,1,4,1
197,UP80FD2679,bike,B1,2024-01-04 06:51:42,2024-01-04 08:06:42,75,completed,6,51,3,0,0,0,0,1,4,1
198,UP80QA2535,bike,B2,2024-01-04 07:38:02,2024-01-04 12:00:02,262,completed,7,38,3,0,1,0,0,1,4,1
199,UP80JZ3266,car,C1,2024-01-04 07:15:47,2024-01-04 13:19:47,364,completed,7,15,3,0,1,0,0,1,4,0
200,UP80KQ8668,bike,B3,2024-01-04 07:55:49,2024-01-04 12:36:49,281,completed,7,55,3,0,1,0,0,1,4,1
201,UP80QU4697,car,C2,2024-01-04 08:18:14,2024-01-04 13:08:14,290,completed,8,18,3,0,1,0,0,1,4,0
202,UP80BJ3143,bike,B1,2024-01-04 08:49:43,2024-01-04 12:12:43,203,completed,8,49,3,0,1,0,0,1,4,1
203,UP80NZ1188,bike,B4,2024-01-04 08:19:56,2024-01-04 12:28:56,249,completed,8,19,3,0,1,0,0,1,4,1
204,UP80UK8253,car,C3,2024-01-04 08:03:35,2024-01-04 14:52:35,409,completed,8,3,3,0,1,0,0,1,4,0
205,UP80GQ7543,car,C4,2024-01-04 08:58:11,2024-01-04 14:40:11,342,completed,8,58,3,0,1,0,0,1,4,0
206,UP80NZ1188,bike,B5,2024-01-04 08:22:41,2024-01-04 12:15:41,233,completed,8,22,3,0,1,0,0,1,4,1
207,UP80FU2674,car,C5,2024-01-04 08:20:44,2024-01-04 14:08:44,348,completed,8,20,3,0,1,0,0,1,4,0
